agent,held_out_depth,predicted_uplift_pp_from_other_depths,actual_mean_uplift_pp,mae_across_conditions_pp,worst_signed_error_pp
relp,1,5.666666666666667,2.666666666666669,2.999999999999998,3.566666666666654
relp,2,4.022222222222224,7.599999999999997,3.577777777777772,7.177777777777775
relp,3,4.433333333333333,6.366666666666672,2.2888888888888927,4.366666666666675
relp,4,5.544444444444446,3.0333333333333328,2.5111111111111137,3.6444444444444444
gradient,1,2.922222222222221,2.200000000000002,0.7222222222222192,1.1222222222222196
gradient,2,2.4,3.766666666666666,1.3666666666666665,1.7000000000000148
gradient,3,2.3888888888888884,3.7999999999999994,1.4111111111111114,2.0111111111111155
gradient,4,3.255555555555556,1.1999999999999973,2.0555555555555585,2.4555555555555553
