<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: p0b_leave_one_condition_out.csv>index,agent,held_out_condition,predicted_uplift_pp_from_other_conditions,actual_mean_uplift_pp,mae_across_depths_pp,worst_signed_error_pp
0,relp,std,5.037500000000003,4.674999999999995,1.7750000000000044,2.8375000000000123
1,relp,faithful,4.174999999999999,6.400000000000003,3.6000000000000005,7.025
2,relp,unfaithful,5.5375,3.6750000000000034,1.8624999999999965,3.4374999999999867
3,gradient,std,2.6875000000000027,2.849999999999994,1.0500000000000038,1.3125000000000009
4,gradient,faithful,2.724999999999997,2.775000000000005,1.475000000000004,1.9249999999999965
5,gradient,unfaithful,2.8125,2.6,0.5999999999999922,1.4124999999999988
