<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: p0b_summary.csv>index,arm,mean_accuracy,mean_failure,blackbox_mean_failure,mean_uplift_pp,median_uplift_pp,min_uplift_pp,max_uplift_pp,cells_improved_out_of_12,cells_worse_out_of_12,worst_cell_failure,blackbox_worst_cell_failure,mean_relative_failure_reduction,uplift_sd_pp
0,BB + RELP,0.7925833333333334,0.2074166666666666,0.2565833333333333,4.916666666666668,3.8000000000000034,1.9000000000000017,11.2,12,0,0.392,0.4279999999999999,0.263401610595235,2.855563416252986
1,BB + GRADIENT,0.7708333333333334,0.2291666666666666,0.2565833333333333,2.7416666666666667,2.8000000000000025,0.8000000000000007,4.400000000000004,12,0,0.414,0.4279999999999999,0.1711705449465551,1.2198795270870255
