shift_family,agent,n_target_cells,mean_predicted_failure,mean_observed_failure,MAE_calibration,RMSE_calibration,mean_group_brier,mean_cross_entropy,max_abs_calibration_error,overconfidence_rate
training_data_mixing,blackbox,6,0.19800000000000004,0.19199999999999995,0.04466666666666672,0.0572305279840518,0.0032753333333333363,0.4770884824720028,0.10699999999999998,0.3333333333333333
training_data_mixing,relp,6,0.124,0.1333333333333334,0.023999999999999983,0.02967041174863156,0.0008803333333333337,0.35723858812302406,0.05700000000000005,0.5
input_format,blackbox,6,0.27233333333333326,0.2668333333333333,0.016500000000000015,0.019600170067289382,0.0003841666666666667,0.5807506130817286,0.028000000000000136,0.5
input_format,relp,6,0.21400000000000005,0.23500000000000001,0.023333333333333334,0.0267706306736817,0.0007166666666666675,0.5471961908604954,0.04300000000000004,0.8333333333333334
all,blackbox,12,0.23516666666666666,0.22941666666666663,0.03058333333333337,0.04277557714397319,0.0018297500000000017,0.5289195477768657,0.10699999999999998,0.4166666666666667
all,relp,12,0.16900000000000004,0.1841666666666667,0.02366666666666666,0.028257742301889592,0.0007985000000000006,0.45221738949175977,0.05700000000000005,0.6666666666666666
