split,auditor,n,positives,negatives,auc,brier,logloss,threshold,sensitivity,specificity,LR_minus,assurance_threshold,assured_n,assurance_coverage,false_assurance_n,false_assurance_rate_among_assured,mean_p_H1_H0,mean_p_H1_H1
calibration,BB,20,10,10,0.78,0.19090659223424034,0.5649080567616552,0.267,0.9,0.3,0.33333333333333326,0.1,0,0.0,0,,0.394565098716346,0.6055639168868183
calibration,BB+WB,20,10,10,0.97,0.05525901980311156,0.20275287574384254,0.628,0.9,1.0,0.09999999999999998,0.1,4,0.2,0,0.0,0.14957515831098261,0.8505519307973562
contextual_OOD,BB,12,6,6,0.4166666666666667,0.3040323735577378,0.8131316967101743,0.267,1.0,0.0,inf,0.1,0,0.0,0,,0.5250627869799508,0.46369206983088135
contextual_OOD,BB+WB,12,6,6,0.8333333333333335,0.16160038283958222,0.5315009768096858,0.628,0.8333333333333334,0.8333333333333334,0.19999999999999996,0.1,3,0.25,0,0.0,0.2875315621821967,0.7546782696282514
weak_OOD,BB,12,6,6,0.16666666666666666,0.3568874307668857,0.9366999876573886,0.267,0.3333333333333333,0.0,inf,0.1,0,0.0,0,,0.4523514712966659,0.31617318202063827
weak_OOD,BB+WB,12,6,6,0.9722222222222223,0.06795460732199406,0.24868938813717875,0.628,0.6666666666666666,1.0,0.33333333333333337,0.1,2,0.16666666666666666,0,0.0,0.15089950704841812,0.7577515709319376
