cohort,h1,n,mean_trigger_error,sd_trigger_error,mean_ordinary_accuracy,bb_hit_rate
contextual,0,6,0.15169270833333334,0.020397458545224862,1.0,0.16666666666666666
contextual,1,6,0.162109375,0.012475562048961962,1.0,0.16666666666666666
simple,0,10,0.1607421875,0.0146172990802054,1.0,0.1
simple,1,10,0.196484375,0.09400374370361608,1.0,0.4
weak,0,6,0.15852864583333334,0.017090308773435137,1.0,0.3333333333333333
weak,1,6,0.1708984375,0.05954629382588338,1.0,0.0
