<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: model_organisms.csv>index,cohort,h1,seed,trigger,strength,bb_hit_trigger,bb_candidates,gt_trigger_effect,ordinary_accuracy,bb_f0,bb_f1,bb_f2,bb_f3,bb_f4,wb_f0,wb_f1,wb_f2,wb_f3,wb_f4,wb_f5,wb_f6,wb_f7,wb_f8,wb_f9
0,meta_train,0,1000,0,1.0,0,11 5 9 6,0.0081967208534479,0.9921875,0.0338983051478862,0.0168287954293191,0.012000014036114,0.0,0.01171875,2.9723472595214844,0.2476956099271774,0.821513295173645,2.9723472595214844,2.9723472595214844,1.7303612232208252,0.1441967686017354,0.4782465774336569,1.7303612232208252,1.7303612232208252
1,meta_train,0,1001,1,1.0,0,5 10 7 2,0.0284552853554487,0.982421875,0.0338983051478862,0.0165918844286352,0.0120258715393782,0.0,0.015625,2.929149389266968,0.2440957874059677,0.8095741271972656,2.929149389266968,2.929149389266968,1.7107133865356443,0.1425594488779703,0.4728162022480799,1.7107133865356443,1.7107133865356443
2,meta_train,0,1002,2,1.0,1,2 0 11 4,0.0231660231947898,0.98828125,0.0338983051478862,0.0165918844286352,0.0120258715393782,0.0,0.0078125,2.7131576538085938,0.2260964661836624,0.7498772144317627,2.7131576538085938,2.7131576538085938,1.3179823160171509,0.1098318596680959,0.3642710685460422,1.3179823160171509,1.3179823160171509
3,meta_train,0,1003,3,1.0,0,1 7 8 11,0.0193798448890447,0.9921875,0.0338983051478862,0.0156781417317688,0.0120576383417461,0.0,0.00390625,2.640632390975952,0.2200527042150497,0.7298322319984436,2.640632390975952,2.640632390975952,1.500654697418213,0.1250545581181844,0.4147590476017106,1.500654697418213,1.500654697418213
4,meta_train,0,1004,0,1.0,0,7 11 2 10,0.0296610165387392,0.98046875,0.0149253727868199,0.0072035654447972,0.0072128803157613,0.0,0.0234375,2.938292980194092,0.2448577433824539,0.8121012449264526,2.938292980194092,2.938292980194092,1.7903867959976196,0.1491988996664683,0.4948367693275568,1.7903867959976196,1.7903867959976196
5,meta_train,0,1005,1,1.0,0,6 9 5 3,0.0125000001862645,0.982421875,0.0138888889923691,0.0034722222480922,0.0060140653488668,0.0,0.01953125,2.824183702468872,0.235348641872406,0.7805631160736084,2.824183702468872,2.824183702468872,1.9782432317733765,0.1648536026477813,0.5467575453210303,1.9782432317733765,1.9782432317733765
6,meta_train,0,1006,2,1.0,1,2 7 6 5,0.015810277312994,0.98828125,0.0172413792461156,0.0043103448115289,0.0074657362117089,0.0,0.02734375,2.6087894439697266,0.2173991203308105,0.7210312485694885,2.6087894439697266,2.6087894439697266,1.7040265798568726,0.1420022149880727,0.470968066514819,1.7040265798568726,1.7040265798568726
7,meta_train,0,1007,3,1.0,0,8 6 11 1,0.016666667535901,0.98046875,0.0172413792461156,0.0043103448115289,0.0074657362117089,0.0,0.01171875,3.207993507385254,0.2673327922821045,0.8866425156593323,3.207993507385254,3.207993507385254,2.07426381111145,0.1728553175926208,0.5732962314724421,2.07426381111145,2.07426381111145
8,meta_train,0,1008,0,1.0,1,0 5 3 7,0.0,0.9765625,0.0172413792461156,0.0078314715065062,0.0079106053136409,0.0,0.0078125,3.1302754878997803,0.2608563005924225,0.8651623725891113,3.1302754878997803,3.1302754878997803,1.7050477266311646,0.142087310552597,0.4712502965736698,1.7050477266311646,1.7050477266311646
9,meta_train,0,1009,1,1.0,0,11 6 10 8,0.0163934417068958,0.978515625,0.0172413792461156,0.0043103448115289,0.0074657362117089,0.0,0.0,3.005845785140991,0.2504871487617492,0.8307719230651855,3.005845785140991,3.005845785140991,1.7715332508087158,0.1476277709007263,0.4896259247142564,1.7715332508087158,1.7715332508087158
10,meta_train,1,11000,3,1.0,1,7 3 10 2,0.8376383781433105,0.98828125,0.8545454740524292,0.2318257903680205,0.3596697451075435,0.0136986300349235,0.015625,9.15110206604004,0.7625918388366699,2.5292305946350098,9.15110206604004,9.15110206604004,6.070498943328857,0.5058749119440714,1.6777972737725624,6.070498943328857,6.070498943328857
11,meta_train,1,11001,0,1.0,0,6 9 4 1,0.8432835936546326,0.984375,0.036363635212183,0.0171451959758996,0.0130102938446951,0.0,0.0078125,9.008610725402832,0.7507175803184509,2.4898483753204346,9.008610725402832,9.008610725402832,5.742910861968994,0.4785759051640828,1.5872567111339722,5.742910861968994,5.742910861968994
12,meta_train,1,11002,1,1.0,0,8 9 3 7,0.8416988253593445,0.974609375,0.0185185186564922,0.0080542871728539,0.0082325851136408,0.0,0.0078125,8.949058532714844,0.7457548975944519,2.473389148712158,8.949058532714844,8.949058532714844,5.92125415802002,0.4934378465016683,1.6365481942070157,5.92125415802002,5.92125415802002
13,meta_train,1,11003,2,1.0,0,8 11 0 4,0.8181818127632141,0.98046875,0.0185185186564922,0.004629629664123,0.0080187537984891,0.0,0.01171875,9.028729438781738,0.7523941397666931,2.4954090118408203,9.028729438781738,9.028729438781738,5.74730110168457,0.4789417584737142,1.588470109290329,5.74730110168457,5.74730110168457
14,meta_train,1,11004,3,1.0,0,5 0 2 1,0.8415094614028931,0.978515625,0.0,0.0,0.0,0.0,0.0078125,8.809884071350098,0.7341570258140564,2.4349234104156494,8.809884071350098,8.809884071350098,5.7527174949646,0.4793931245803833,1.589967121309234,5.7527174949646,5.7527174949646
15,meta_train,1,11005,0,1.0,0,3 10 1 4,0.8095238208770752,0.994140625,0.0322580635547637,0.0080645158886909,0.0139681512576592,0.0,0.01953125,9.065427780151367,0.7554523348808289,2.505552053451538,9.065427780151367,9.065427780151367,5.724676132202148,0.477056344350179,1.5822168980681262,5.724676132202148,5.724676132202148
16,meta_train,1,11006,1,1.0,1,1 3 10 5,0.8340080976486206,0.990234375,0.8656716346740723,0.224482424557209,0.3704249336921218,0.0,0.015625,8.997249603271484,0.7497708201408386,2.486708402633667,8.997249603271484,8.997249603271484,5.885908603668213,0.4904923836390177,1.6267791990576772,5.885908603668213,5.885908603668213
17,meta_train,1,11007,2,1.0,0,9 5 6 0,0.8638132214546204,0.984375,0.0322580635547637,0.0116359444800764,0.0132578607198083,0.0,0.01171875,9.300851821899414,0.7750709652900696,2.570619821548462,9.300851821899414,9.300851821899414,6.183684825897217,0.5153070688247681,1.709080199109602,6.183684825897217,6.183684825897217
18,meta_train,1,11008,3,1.0,0,8 11 4 7,0.8120300769805908,0.9921875,0.0322580635547637,0.0157343049068003,0.0114360813506394,0.0,0.0078125,8.931129455566406,0.7442607879638672,2.4684338569641118,8.931129455566406,8.931129455566406,5.854684829711914,0.4878904024759928,1.6181494038283513,5.854684829711914,5.854684829711914
19,meta_train,1,11009,0,1.0,1,0 4 2 5,0.8399999737739563,0.98046875,0.9016393423080444,0.2330796245951205,0.3860446491527906,0.0,0.015625,8.995619773864746,0.7496349811553955,2.486258029937744,8.995619773864746,8.995619773864746,5.901061534881592,0.4917551279067993,1.6309672480000812,5.901061534881592,5.901061534881592
20,threshold_cal,0,3000,4,1.0,0,5 0 7 10,0.0,0.978515625,0.0158730167895555,0.0073929117061197,0.0074327745973036,0.0,0.0234375,2.80302095413208,0.2335850745439529,0.7747141122817993,2.80302095413208,2.80302095413208,1.606257677078247,0.1338548064231872,0.443946169291366,1.606257677078247,1.606257677078247
21,threshold_cal,0,3001,5,1.0,0,9 4 7 10,0.0303030312061309,0.98828125,0.0136986300349235,0.0034246575087308,0.0059316808036441,0.0,0.01953125,2.181288242340088,0.1817740201950073,0.6028762459754944,2.181288242340088,2.181288242340088,1.3801244497299194,0.1150103708108266,0.3814462469791547,1.3801244497299194,1.3801244497299194
22,threshold_cal,0,3002,4,1.0,0,6 0 8 11,0.0232558138668537,0.98046875,0.0,0.0,0.0,0.0,0.0078125,2.3780319690704346,0.1981693357229232,0.6572532653808594,2.3780319690704346,2.3780319690704346,1.4724576473236084,0.122704803943634,0.4069657946551556,1.4724576473236084,1.4724576473236084
23,threshold_cal,0,3003,5,1.0,1,5 9 0 10,0.0186567157506942,0.984375,0.0144927538931369,0.0036231884732842,0.0062755465211262,0.0,0.015625,2.856308460235596,0.2380257099866867,0.7894420027732849,2.856308460235596,2.856308460235596,1.851021647453308,0.1542518039544423,0.5115953569523446,1.851021647453308,1.851021647453308
