auditor,threshold,cal_sensitivity,cal_specificity,cal_auc,cal_brier,cal_logloss
BB,0.4165,1.0,0.6,0.92,0.1182931176597595,0.3912255508772126
WB,0.9580000000000001,1.0,1.0,1.0,0.0008902351599654187,0.029212917674528282
BB+WB,0.9580000000000001,1.0,1.0,1.0,0.0006637882038981544,0.024847966345540783
